frame_idx,time_s,time_of_day,count,density,cx_std,cy_std,avg_box_area,risk
0,0.0,8.0,1,0.1,0.0,0.0,0.003950271640095662,Normal
30,0.5005000000000001,8.23,4,0.3,67.70256536019804,38.92607738760594,0.005903957688335342,Normal
60,1.0010000000000001,8.45,3,0.2,76.18721892073961,17.631608080997548,0.005391756117969186,Normal
90,1.5015,8.68,4,0.3,47.415190491894506,27.483920193730377,0.005809629068342777,Normal
120,2.0020000000000002,8.91,2,0.2,47.682159423828125,2.14019775390625,0.005456572203063753,Normal
150,2.5025,9.13,0,0.0,0.0,0.0,0.0,Normal
180,3.003,9.36,1,0.1,0.0,0.0,0.00650041144534178,Normal
210,3.5035000000000003,9.59,1,0.1,0.0,0.0,0.0032806247362107874,Normal
240,4.0040000000000004,9.81,3,0.2,257.9075350350495,6.988080093289707,0.0065642416818877695,Normal
270,4.5045,10.04,3,0.2,134.30337854140402,16.455942471161237,0.0067577287802456565,Normal
300,5.005,10.27,2,0.2,134.05987548828125,14.450294494628906,0.006267416444155027,Normal
330,5.5055000000000005,10.49,1,0.1,0.0,0.0,0.007403142221989954,Normal
360,6.006,10.72,3,0.2,51.365603496272584,45.751408747614654,0.005557037263966354,Normal
390,6.5065,10.95,3,0.2,14.948247970228048,46.604183488482036,0.005444916880813612,Normal
420,7.007000000000001,11.17,1,0.1,0.0,0.0,0.006752442163023834,Normal
450,7.5075,11.4,4,0.3,69.99192618268218,62.15140235114065,0.005641021531642767,Normal
480,8.008000000000001,11.63,5,0.4,86.51828767280134,59.47261532376874,0.005452153168388252,Normal
510,8.5085,11.85,3,0.2,64.80197963977476,20.601213356480674,0.005611341321468431,Normal
540,9.009,12.08,1,0.1,0.0,0.0,0.00661768180291094,Normal
570,9.509500000000001,12.31,2,0.2,160.89298248291016,3.8084869384765625,0.009195056525159706,Normal
600,10.01,12.53,0,0.0,0.0,0.0,0.0,Normal
630,10.5105,12.76,2,0.2,20.635513305664062,61.12908935546875,0.004124063772532742,Normal
660,11.011000000000001,12.99,2,0.2,76.09010314941406,10.8497314453125,0.007419155450625786,Normal
690,11.5115,13.21,2,0.2,75.65489196777344,8.833244323730469,0.00783723193336738,Normal
720,12.012,13.44,2,0.2,76.4726791381836,4.78106689453125,0.007279683061373935,Normal
750,12.512500000000001,13.67,2,0.2,61.45768737792969,29.604446411132812,0.003424055887922737,Normal
780,13.013,13.89,0,0.0,0.0,0.0,0.0,Normal
810,13.5135,14.12,0,0.0,0.0,0.0,0.0,Normal
840,14.014000000000001,14.35,1,0.1,0.0,0.0,0.002042709994931243,Normal
870,14.5145,14.57,2,0.2,179.30584526062012,181.5094940662384,0.003949198252603489,Normal
900,15.015,14.8,1,0.1,0.0,0.0,0.005647427616240972,Normal
930,15.5155,15.03,2,0.2,144.17670822143555,46.58904242515564,0.0020752475533548464,Normal
960,16.016000000000002,15.25,4,0.3,160.21880164830102,19.207310938193363,0.0018897909027279236,Normal
990,16.5165,15.48,3,0.2,20.751116851122738,23.25487965944317,0.0015052256942577216,Normal
1020,17.017,15.71,3,0.2,19.698658374578958,27.812252072342375,0.001867758931381971,Normal
1050,17.517500000000002,15.93,4,0.3,51.79940490411416,153.40042693142092,0.003230243289491875,Normal
1080,18.018,16.16,8,0.7,122.48310083096052,121.42846411000654,0.0021964107316318447,Normal
1110,18.5185,16.39,8,0.7,103.87437180688957,44.82697556899427,0.0020721526661802705,Normal
1140,19.019000000000002,16.61,8,0.7,84.82361340134898,33.64787431741839,0.0020471989856345437,Normal
1170,19.5195,16.84,7,0.6,80.9010467721796,37.009404906381036,0.0017026519631016693,Normal
1200,20.02,17.07,8,0.7,58.791662490731746,30.075842467818767,0.001876351274798552,Normal
1230,20.520500000000002,17.29,10,0.8,88.64887717134121,72.40853995822924,0.001562011505562079,Normal
1260,21.021,17.52,11,0.9,79.28445960836954,70.87035129719439,0.0016297627973952346,Busy
1290,21.5215,17.75,7,0.6,167.51801698114463,27.83342039771049,0.0018562522070739546,Normal
1320,22.022000000000002,17.97,10,0.8,71.87038192948745,52.82821299734207,0.001845234021777937,Normal
1350,22.5225,18.2,12,1.0,81.04214131101008,91.77314884787803,0.0019125295917393527,Busy
1380,23.023,18.43,10,0.8,197.02137218265344,63.14743212224947,0.0015675955241381378,Normal
1410,23.523500000000002,18.65,14,1.2,220.3962120548792,91.9011935314187,0.001842298751752594,Busy
1440,24.024,18.88,13,1.1,171.6692528427853,66.57728927529828,0.0014490930492612622,Busy
1470,24.5245,19.11,15,1.2,207.5471324694817,65.36699455850213,0.0015318492057168674,Busy
1500,25.025000000000002,19.34,18,1.5,181.9666872294446,64.10469958797897,0.0014887486906930243,Busy
1530,25.5255,19.56,11,0.9,180.94818556379963,62.87718125324622,0.001447520719770693,Busy
1560,26.026,19.79,6,0.5,229.67832429245215,53.674638782498796,0.0016794538472253457,Normal
0,0.0,8.0,23,1.9,215.45100701734745,23.50137348647698,0.03643782974071546,Busy
30,1.2,8.11,15,1.2,209.44238623337378,29.383352638371665,0.05124588699940105,Busy
60,2.4,8.22,15,1.2,208.0804881589509,27.787044590549797,0.05621994777434953,Busy
90,3.6,8.33,20,1.7,221.2504619696765,33.3311489782691,0.048824520291504456,Busy
120,4.8,8.44,13,1.1,220.15193011338096,27.32302022510129,0.05803289899903768,Busy
150,6.0,8.55,20,1.7,201.49646503065767,35.05354668542845,0.039100917893146604,Busy
180,7.2,8.66,15,1.2,233.2615579724859,27.20175572029629,0.04441518905263722,Busy
210,8.4,8.77,15,1.2,232.34694156086587,29.972375461889435,0.04181450093956358,Busy
240,9.6,8.88,13,1.1,227.1897128784779,37.559012358631705,0.02060373437354519,Busy
270,10.8,8.99,15,1.2,172.53311905412883,66.61041068573864,0.07214872427024774,Busy
300,12.0,9.1,15,1.2,211.9840202332676,36.390722854722526,0.06425371002632974,Busy
